phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR014390,Madhya Pradesh,Dhar,Dhar,Teesgown,22.60894632,75.32067273,False,,,
PHCR014391,Madhya Pradesh,Dhar,Sardarpur,ringnod,22.60911588,74.93131571,False,,,
PHCR014392,Madhya Pradesh,Mandla,Bichhiya,Ramnager,22.61189604,80.50835626,False,,,
PHCR014393,Madhya Pradesh,Dhar,Dhar,Ghatabillod,22.61288,75.664795,False,,,
PHCR014394,Madhya Pradesh,Dhar,Nalchha,UPHC Pithampur,22.613252,75.68229,False,,,
PHCR014395,Madhya Pradesh,Mandla,Nainpur,Tinduabamhani,22.61445333,80.10284,False,,,
PHCR014396,Madhya Pradesh,Seoni,Lakhnadon,Adegaon,22.61736313,79.49297377,False,,,
PHCR014397,Madhya Pradesh,Sehore,Nasrullaganj,PHC Baibori,22.6196,77.3597,False,,,
PHCR014398,Madhya Pradesh,Indore,Indore,TILLOR KHURD,22.61996333,75.942285,False,,,
PHCR014399,Madhya Pradesh,Hoshangabad,Dolaria,Misrod,22.620106,77.566241,False,,,
PHCR014400,Madhya Pradesh,Chhindwada,Tamia,Chawalpani,22.62029437,78.67602367,False,,,
PHCR014401,Madhya Pradesh,Indore,Indore,KAMPEL,22.62124167,76.04926833,False,,,
PHCR014402,Madhya Pradesh,Indore,Depalpur,DHANNAD,22.6285358,75.72756733,False,,,
PHCR014403,Madhya Pradesh,Indore,Indore,PIWDAY,22.62864333,76.02933667,False,,,
PHCR014404,Madhya Pradesh,Mandla,Ghughari,Ramhepur,22.628915,80.616325,False,,,
PHCR014405,Madhya Pradesh,Hoshangabad,Babai,Bagratawa,22.6311213,77.9941173,False,,,
PHCR014406,Madhya Pradesh,Hoshangabad,Dolaria,Gurra,22.6316184,77.8667416,False,,,
PHCR014407,Madhya Pradesh,Jhabua,Ranapur,KANJAWANI,22.63563639,74.39723852,False,,,
PHCR014408,Madhya Pradesh,Sehore,Nasrullaganj,PHC Itawa Itarsi,22.64718937,77.13146555,False,,,
PHCR014409,Madhya Pradesh,Indore,Indore,UPHC Nihalpurmandi,22.648919,75.83887,False,,,
PHCR014410,Madhya Pradesh,Sehore,Budni,PHC Mardanpur,22.650395,77.45879,False,,,
PHCR014411,Madhya Pradesh,Jhabua,Ranapur,SAMOI,22.65628484,74.44700819,False,,,
PHCR014412,Madhya Pradesh,Dewas,Kannod,pd PHC Dokakuie,22.659924,76.670147,False,,,
PHCR014413,Madhya Pradesh,Indore,Indore,RAJENDRA NAGAR,22.670301,75.82306,False,,,
PHCR014414,Madhya Pradesh,Mandla,Mohgaon,Chandwara,22.67575452,80.50765333,False,,,
PHCR014415,Madhya Pradesh,Raisen,Udaipura,Chhatter,22.681117,78.594472,False,,,
PHCR014416,Madhya Pradesh,Dindori,Samnapur,BAMHANI,22.681979,81.184396,False,,,
PHCR014417,Madhya Pradesh,Anuppur,Pushprajgarh,Amarkantak,22.6822,81.7532,False,,,
PHCR014418,Madhya Pradesh,Mandla,Bamhani banjar(Mandla),Mohaniya Patpara,22.68461123,80.47509084,False,,,
PHCR014419,Madhya Pradesh,Indore,Indore,UPHC Musakhedi,22.684946,75.907231,False,,,
